region;mean_gradient_variance
Module1_1_1;3839.867713291677
Module1_1_2;8009.331206651839
Module1_2_1;13805.6794572836
Module1_2_2;5862.298208362329
Module1_2_3;1942.1015690408087
Module1_2_4;12088.223643659025
Module1_2_5;1998.0821952515992
Module1_2_6;12044.235256251157
Module1_3_1;5114.044522394158
Module1_3_2;4279.81484573157
Module1_4_1;3404.3901663101683
Module1_4_2;2044.126828463848
Module1_4_3;1512.6571524112987
Module1_5;109.45549162227498
Module1_6;4588.654202757362
Module1_7;1931.6302937570588
Module1_8;299.74953128330316
