region;sum_gradients_variance
Module1_1_1;5512.061091036287
Module1_1_2;38370.79095653464
Module1_2_1;28472.09455378964
Module1_2_2;7200.982158957026
Module1_2_3;3198.41928716722
Module1_2_4;20610.0406772984
Module1_2_5;4607.212680844506
Module1_2_6;10690.54189960014
Module1_3_1;37519.617789251584
Module1_3_2;4766.340261290654
Module1_4_1;10511.904292856569
Module1_4_2;10742.885305043
Module1_4_3;3354.047518005176
Module1_5;1676.8314618752406
Module1_6;4319.15965386658
Module1_7;5865.372036794661
Module1_8;2044.1501744596812
