region;mean_gradient_variance
Module1_1_1_1;2549.1724656059546
Module1_1_1_2;287.8155080332665
Module1_1_1_3;8819.700858832392
Module1_1_2_1;1771.7692751201164
Module1_1_2_2;7551.021987872437
Module1_1_2_3;1509.041474491726
Module1_2_1;13805.6794572836
Module1_2_2_1;5936.639852849554
Module1_2_2_2;6732.721467952668
Module1_2_3_1;5811.306889173311
Module1_2_3_2;575.330866881569
Module1_2_4;12088.22364365902
Module1_2_5_1;579.1276235168066
Module1_2_5_2;367.888993086616
Module1_2_6;12044.235256251137
Module1_3_1_1;1859.4559671270567
Module1_3_1_2;3567.6089269149647
Module1_3_2;4279.814845731549
Module1_4_1_1;3595.6318891625747
Module1_4_1_2;86.90111570138846
Module1_4_2_1;2378.1782595201894
Module1_4_2_2;2385.9390251571062
Module1_4_3;1512.657152411304
Module1_5;109.45549162227024
Module1_6;4588.654202757352
Module1_7_1;660.4312348373
Module1_7_2;10198.099564528116
Module1_7_3;153.2561546261411
Module1_8;299.74953128330753
