region;gradient_deviation
Module1_1_1_1;46.47294278922908
Module1_1_1_2;31.86675358082622
Module1_1_1_3;45.70495848579119
Module1_1_2_1;57.14391292440858
Module1_1_2_2;67.92559619939243
Module1_1_2_3_1;47.61565677324039
Module1_1_2_3_2;31.25629861910378
Module1_2_1;72.46775417005965
Module1_2_2_1;64.36115371691187
Module1_2_2_2;60.78457396844841
Module1_2_3_1;50.94624804324483
Module1_2_3_2;44.039827253432286
Module1_2_4;56.134725083646174
Module1_2_5_1;41.61869103023943
Module1_2_5_2;45.73008068286511
Module1_2_6;59.3414134783984
Module1_3_1_1_1;63.574442511852986
Module1_3_1_1_2;35.471264163530456
Module1_3_1_2_1;50.77736833066873
Module1_3_1_2_2;54.0201675475497
Module1_3_2_1;41.30245759011854
Module1_3_2_2;35.64979051068772
Module1_4_1_1_1;47.56539599536577
Module1_4_1_1_2;44.04438921012393
Module1_4_1_2;26.18271012008474
Module1_4_2_1;49.63174726764857
Module1_4_2_2;48.69754794227739
Module1_4_3;53.682244345395205
Module1_5;64.27382459979877
Module1_6;49.91558935676585
Module1_7_1;41.421509108698
Module1_7_2;59.11164922572337
Module1_7_3;26.57812875713208
Module1_8;44.30911782868
