region;sum_gradients_variance
Module1_1_1_1;7915.161422596429
Module1_1_1_2;1133.620144908345
Module1_1_1_3;2439.596328927656
Module1_1_2_1;5082.831848531666
Module1_1_2_2;47573.94726954966
Module1_1_2_3_1;4428.015194258089
Module1_1_2_3_2;2403.4547026655564
Module1_2_1;28472.09455378964
Module1_2_2_1;2711.965339885363
Module1_2_2_2;11579.49907169742
Module1_2_3_1;20879.316085792823
Module1_2_3_2;3324.476809665027
Module1_2_4;20610.04067729839
Module1_2_5_1;2447.909550716653
Module1_2_5_2;9682.302955715842
Module1_2_6;10690.54189960031
Module1_3_1_1_1;8221.33106997516
Module1_3_1_1_2;19234.03967398724
Module1_3_1_2_1;876.0826417576732
Module1_3_1_2_2;3526.976838989979
Module1_3_2_1;7469.711010294603
Module1_3_2_2;1373.0178736573907
Module1_4_1_1_1;10589.81320416983
Module1_4_1_1_2;1221.143319239811
Module1_4_1_2;695.4009112753812
Module1_4_2_1;3306.853358513085
Module1_4_2_2;1348.3443973190117
Module1_4_3;3354.0475180052194
Module1_5;1676.8314618752102
Module1_6;4319.159653866589
Module1_7_1;1100.375968501267
Module1_7_2;4210.849994728386
Module1_7_3;1409.9893730633307
Module1_8;2044.1501744596912
