region;gradient_deviation
Module1_1_1_1;46.47294278922921
Module1_1_1_2;31.866753580826245
Module1_1_1_3;45.7049584857917
Module1_1_2_1;57.14391292440767
Module1_1_2_2_1;38.72684570897379
Module1_1_2_2_2;50.88935431763299
Module1_1_2_3_1_1;56.02457608203644
Module1_1_2_3_1_2;35.25038890877576
Module1_1_2_3_2;31.25629861910388
Module1_2_1_1;53.7332882459416
Module1_2_1_2;37.87535099343653
Module1_2_2_1;64.36115371691191
Module1_2_2_2;60.78457396844704
Module1_2_3_1;50.94624804324479
Module1_2_3_2;44.039827253432286
Module1_2_4;56.134725083646245
Module1_2_5_1;41.61869103023938
Module1_2_5_2;45.73008068286515
Module1_2_6;59.34141347839832
Module1_3_1_1_1_1;33.46643584239348
Module1_3_1_1_1_2;30.73325709964871
Module1_3_1_1_2_1;41.14643338844432
Module1_3_1_1_2_2;30.96257513392378
Module1_3_1_2_1_1;26.24666426536198
Module1_3_1_2_1_2;30.29210341762213
Module1_3_1_2_2;54.020167547550166
Module1_3_2_1;41.30245759011896
Module1_3_2_2;35.64979051068797
Module1_4_1_1_1_1;54.78584337810947
Module1_4_1_1_1_2;41.30827826433275
Module1_4_1_1_2;44.04438921012406
Module1_4_1_2;26.18271012008477
Module1_4_2_1;49.63174726764889
Module1_4_2_2;48.6975479422774
Module1_4_3;53.68224434539508
Module1_5;64.2738245997988
Module1_6;49.91558935676577
Module1_7_1;41.42150910869759
Module1_7_2;59.1116492257234
Module1_7_3;26.578128757132323
Module1_8;44.309117828680144
