region;sum_gradients_variance
Module1_1_1_1;7915.161422596427
Module1_1_1_2;1133.620144908346
Module1_1_1_3;2439.59632892768
Module1_1_2_1;5082.831848531692
Module1_1_2_2_1;6139.359184343694
Module1_1_2_2_2;31386.863260908965
Module1_1_2_3_1_1;10009.124036530586
Module1_1_2_3_1_2;3683.597241265035
Module1_1_2_3_2;2403.4547026655578
Module1_2_1_1;31030.349218391533
Module1_2_1_2;2111.0429983210315
Module1_2_2_1;2711.965339885357
Module1_2_2_2;11579.499071697435
Module1_2_3_1;20879.316085792816
Module1_2_3_2;3324.476809665022
Module1_2_4;20610.04067729841
Module1_2_5_1;2447.909550716624
Module1_2_5_2;9682.302955715844
Module1_2_6;10690.541899600235
Module1_3_1_1_1_1;4576.551655852105
Module1_3_1_1_1_2;3402.781922828224
Module1_3_1_1_2_1;9376.167914900425
Module1_3_1_1_2_2;5608.679379456044
Module1_3_1_2_1_1;2822.422108534223
Module1_3_1_2_1_2;827.4379654664186
Module1_3_1_2_2;3526.9768389899696
Module1_3_2_1;7469.711010294616
Module1_3_2_2;1373.0178736573905
Module1_4_1_1_1_1;3360.0392930501857
Module1_4_1_1_1_2;8285.782725068468
Module1_4_1_1_2;1221.1433192398138
Module1_4_1_2;695.4009112753846
Module1_4_2_1;3306.85335851301
Module1_4_2_2;1348.3443973190228
Module1_4_3;3354.0475180051963
Module1_5;1676.8314618752186
Module1_6;4319.159653866595
Module1_7_1;1100.3759685012733
Module1_7_2;4210.849994728392
Module1_7_3;1409.9893730633205
Module1_8;2044.150174459684
