region;sum_gradients_variance
Module1_1_1_1;7915.161422596408
Module1_1_1_2;1133.620144908347
Module1_1_1_3_1;4311.956344081664
Module1_1_1_3_2;8703.630596294226
Module1_1_2_1;5082.831848531791
Module1_1_2_2_1;6139.359184343685
Module1_1_2_2_2;31386.863260908955
Module1_1_2_3_1_1_1;1776.8700080906256
Module1_1_2_3_1_1_2;4355.727636152143
Module1_1_2_3_1_1_3;3001.1577679808383
Module1_1_2_3_1_2;3683.597241265043
Module1_1_2_3_2;2403.45470266554
Module1_2_1_1_1;5062.235788855904
Module1_2_1_1_2;9057.330335549188
Module1_2_1_1_3;16419.90229243039
Module1_2_1_2;2111.0429983210424
Module1_2_2_1;2711.965339885357
Module1_2_2_2_1;15203.493176220194
Module1_2_2_2_2;18238.144443247435
Module1_2_3_1_1;868.0876411531473
Module1_2_3_1_2;19987.34848533952
Module1_2_3_2_1;39948.25707702735
Module1_2_3_2_2;419.7225224801633
Module1_2_4;20610.040677298384
Module1_2_5_1_1;21738.71993356777
Module1_2_5_1_2;383.7275656567272
Module1_2_5_2;9682.302955715855
Module1_2_6;10690.541899600295
Module1_3_1_1_1_1_1;3059.2237313449514
Module1_3_1_1_1_1_2;3987.97085947702
Module1_3_1_1_1_1_3;10028.062010941889
Module1_3_1_1_1_2;3402.781922828195
Module1_3_1_1_2_1_1;14474.81170444101
Module1_3_1_1_2_1_2;429.8345712880375
Module1_3_1_1_2_2;5608.679379456038
Module1_3_1_2_1_1;2822.4221085342297
Module1_3_1_2_1_2;827.4379654664174
Module1_3_1_2_2_1;2048.4259293450914
Module1_3_1_2_2_2;1841.80688671364
Module1_3_2_1_1;1684.413607275585
Module1_3_2_1_2;53100.92931513023
Module1_3_2_2;1373.0178736573737
Module1_4_1_1_1_1;3360.0392930500143
Module1_4_1_1_1_2_1;7543.345591243523
Module1_4_1_1_1_2_2;935.883663643913
Module1_4_1_1_2;1221.1433192398367
Module1_4_1_2;695.4009112753861
Module1_4_2_1_1;1521.371465482831
Module1_4_2_1_2;0.0
Module1_4_2_1_3;7808.270203885288
Module1_4_2_2_1;842.2760796406048
Module1_4_2_2_2;4717.128978509766
Module1_4_3;3354.047518005201
Module1_5_1;488.8263983955984
Module1_5_2;24539.5315223247
Module1_6_1;4346.11166497691
Module1_6_2;1168.3131393028066
Module1_7_1;1100.3759685013088
Module1_7_2;4210.84999472841
Module1_7_3;1409.989373063312
Module1_8;2044.1501744596767
